proyecto_id,fecha,autor,categoria,metodo_match,diputado_id,fuente_mandato,bloque,familia,distrito,region,presidencia,gobierno,tipo,dominio,orientacion,saliencia
HCDN093102,2008-03-27,"CANTERO GUTIERREZ, ALBERTO",diputado,exacto_vigente,SUPL_CANTERO_GUTIERREZ,suplemento,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,CORDOBA,PAMPEANA,cfk_2008_2015,si,LEY,B,administrativa_neutra,relacionada
HCDN093479,2008-04-09,"SOLANAS, RAUL PATRICIO",diputado,exacto_vigente,SUPL_SOLANAS,suplemento,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,ENTRE RIOS,PAMPEANA,cfk_2008_2015,si,LEY,C,administrativa_neutra,relacionada
HCDN094656,2008-04-15,"FERNANDEZ DE KIRCHNER, CRISTINA",ejecutivo,,,,,,,,cfk_2008_2015,,MENSAJE Y PROYECTO DE LEY,C,administrativa_neutra,relacionada
HCDN094027,2008-04-18,"FERRO, FRANCISCO JOSE",diputado,exacto_vigente,SUPL_FERRO,suplemento,COALICIÓN CÍVICA - ARI - GEN - UPT,cc_ari,BUENOS AIRES,PAMPEANA,cfk_2008_2015,no,RESOLUCION,B,administrativa_neutra,relacionada
HCDN094366,2008-04-28,"DIAZ, SUSANA ELADIA",diputado,exacto_vigente,HCDN0739,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,TUCUMAN,NOA,cfk_2008_2015,si,DECLARACION,C,administrativa_neutra,relacionada
HCDN094431,2008-04-30,"ROSSI, AGUSTIN OSCAR",diputado,exacto_vigente,HCDN0912,suplemento,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,SANTA FE,PAMPEANA,cfk_2008_2015,si,RESOLUCION,C,administrativa_neutra,relacionada
HCDN094482,2008-05-02,"FERRO, FRANCISCO JOSE",diputado,exacto_vigente,SUPL_FERRO,suplemento,COALICIÓN CÍVICA - ARI - GEN - UPT,cc_ari,BUENOS AIRES,PAMPEANA,cfk_2008_2015,no,DECLARACION,B,pro_liberalizacion,relacionada
HCDN095325,2008-05-20,"GARCIA, SUSANA ROSA",diputado,exacto_vigente,HCDN0749,hcdn,COALICION CIVICA - ARI - GEN - UPT,cc_ari,SANTA FE,PAMPEANA,cfk_2008_2015,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN096122,2008-06-09,"ALFARO, GERMAN ENRIQUE",diputado,exacto_vigente,HCDN0973,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,TUCUMAN,NOA,cfk_2008_2015,si,RESOLUCION,C,administrativa_neutra,relacionada
HCDN096123,2008-06-10,"FABRIS, LUCIANO RAFAEL",diputado,exacto_vigente,SUPL_FABRIS,suplemento,UCR,ucr,CHACO,NEA,cfk_2008_2015,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN096387,2008-06-13,"SALIM, JUAN ARTURO",diputado,exacto_vigente,HCDN0915,suplemento,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,TUCUMAN,NOA,cfk_2008_2015,si,RESOLUCION,C,administrativa_neutra,relacionada
HCDN096591,2008-06-25,"FERRO, FRANCISCO JOSE",diputado,exacto_vigente,SUPL_FERRO,suplemento,COALICIÓN CÍVICA - ARI - GEN - UPT,cc_ari,BUENOS AIRES,PAMPEANA,cfk_2008_2015,no,DECLARACION,B,pro_liberalizacion,relacionada
HCDN096787,2008-07-01,"TORRONTEGUI, MARIA ANGELICA",diputado,exacto_vigente,SUPL_TORRONTEGUI,suplemento,FREJULI - PJ,peronismo_federal,SAN LUIS,CUYO,cfk_2008_2015,no,RESOLUCION,C,administrativa_neutra,relacionada
HCDN097295,2008-07-25,"ALFARO, GERMAN ENRIQUE",diputado,exacto_vigente,HCDN0973,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,TUCUMAN,NOA,cfk_2008_2015,si,LEY,C,administrativa_neutra,relacionada
HCDN097372,2008-07-29,"BONASSO, MIGUEL LUIS",diputado,exacto_vigente,HCDN0798,hcdn,DIALOGO POR BUENOS AIRES,izquierda_progresista,CIUDAD DE BUENOS AIRES,CABA,cfk_2008_2015,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN097678,2008-08-13,"MORINI, PEDRO JUAN",diputado,exacto_vigente,SUPL_MORINI,suplemento,UCR,ucr,SANTA FE,PAMPEANA,cfk_2008_2015,no,RESOLUCION,B,administrativa_neutra,relacionada
