bloque,familia,duda,nota
FRENTE PARA LA VICTORIA - PJ,kirchnerismo,no,
FRENTE DE TODOS,kirchnerismo,no,
UNION POR LA PATRIA,kirchnerismo,no,
NUEVO ENCUENTRO POPULAR Y SOLIDARIO,kirchnerismo,no,Sabbatella; aliado estable del FpV
NUEVO ENCUENTRO,kirchnerismo,no,
SOLIDARIO SI,kirchnerismo,no,Heller/Junio (Partido Solidario); aliado estable del FpV
PERONISMO PARA LA VICTORIA,kirchnerismo,no,verificar integrantes y epoca; verificado 2026-08-02
FRENTE PERONISTA,peronismo_federal,no,peronismo disidente 2011-2013
PERONISMO FEDERAL,peronismo_federal,no,
COMPROMISO FEDERAL,peronismo_federal,no,rodriguez-saaismo
CORDOBA FEDERAL,peronismo_federal,no,schiarettismo
UNION POR CORDOBA,peronismo_federal,no,delasotismo
FRENTE RENOVADOR,peronismo_federal,no,massismo pre-FdT
FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,peronismo_federal,no,UNA/massismo
UNIDOS POR UNA NUEVA ARGENTINA,peronismo_federal,no,UNA/massismo
IDENTIDAD BONAERENSE,peronismo_federal,no,Camano/Randazzo 2021
JUSTICIALISTA,peronismo_federal,no,bloque PJ no-K 2016-2019 (Bossio); verificar epoca; verificado 2026-08-02
UNIDAD JUSTICIALISTA,peronismo_federal,no,verificado 2026-08-02
PARTIDO JUSTICIALISTA LA PAMPA,peronismo_federal,no,
UNION PERONISTA,peronismo_federal,no,verificado 2026-08-02
PERONISTA,peronismo_federal,no,verificado 2026-08-02
FRENTE JUSTICIA UNION Y LIBERTAD - FREJULI,peronismo_federal,no,verificado 2026-08-02
ENCUENTRO FEDERAL,peronismo_federal,no,Pichetto 2024; bloque mixto: PS/GEN via familia_overrides.csv; verificado 2026-08-02
HACEMOS COALICION FEDERAL,peronismo_federal,si,Pichetto 2023; bloque mixto
UCR,ucr,no,
UCR - UNION CIVICA RADICAL,ucr,no,
EVOLUCION RADICAL,ucr,no,radicalismo Lousteau
UDESO SALTA,ucr,no,alianza UCR salta 2011; verificado 2026-08-02
SUMA + UNEN,ucr,no,Lousteau/Carrizo; radicalismo porteno via UNEN; verificado 2026-08-02
MOVIMIENTO NACIONAL ALFONSINISTA,ucr,no,desprendimiento radical; verificado 2026-08-02
FRENTE CIVICO Y SOCIAL DE CATAMARCA,ucr,no,radicalismo catamarqueno; verificado 2026-08-02
PRO,pro,no,
UNION PRO,pro,no,
UNION POR TODOS,pro,no,Bullrich pre-PRO; verificado 2026-08-02
COALICION CIVICA,cc_ari,no,
COALICION CIVICA - ARI,cc_ari,no,
COALICION CIVICA - ARI - GEN - UPT,cc_ari,no,bloque conjunto; incluye GEN; verificado 2026-08-02
COALICION CIVICA ARI - UNEN,cc_ari,no,
GEN,izquierda_progresista,no,Stolbizer; socialdemocracia; verificado 2026-08-02
