distrito,hansen,nativo_perdido_km2,pct_nativo_perdido,nativo_sobre_hansen,banca_anios,relevantes,dom_D,rel_100ba,D_100ba
SANTIAGO DEL ESTERO,4763.33,,,,125.61,0,0,0.00,0.00
CHACO,3522.90,2841.17,4.43,80.65,127.95,12,2,9.38,1.56
FORMOSA,2522.23,3347.51,6.69,132.72,89.87,6,1,6.68,1.11
MISIONES,1941.30,109.98,0.50,5.67,125.97,30,10,23.81,7.94
CORRIENTES,1933.29,980.07,22.32,50.69,125.87,16,4,12.71,3.18
SALTA,1634.01,,,,127.97,18,13,14.07,10.16
ENTRE RIOS,782.90,,,,161.97,19,5,11.73,3.09
TUCUMAN,345.62,,,,162.74,12,0,7.37,0.00
JUJUY,196.49,,,,107.69,4,1,3.71,0.93
CATAMARCA,160.35,,,,89.55,10,0,11.17,0.00
