dominio,etiqueta,nivel,clave,n,pct,base
A,acuerdo explicito,comision_primer_giro,RELACIONES EXTERIORES Y CULTO,17,60.7,28
A,acuerdo explicito,comision_primer_giro,ASUNTOS CONSTITUCIONALES,5,17.9,28
A,acuerdo explicito,comision_primer_giro,MERCOSUR,4,14.3,28
A,acuerdo explicito,comision_primer_giro,"PETICIONES, PODERES Y REGLAMENTO",2,7.1,28
A,acuerdo explicito,grupo_primer_giro,Relaciones exteriores y Mercosur,21,75.0,28
A,acuerdo explicito,grupo_primer_giro,Otras,7,25.0,28
B,comercio sectorial,comision_primer_giro,AGRICULTURA Y GANADERIA,55,79.7,69
B,comercio sectorial,comision_primer_giro,RELACIONES EXTERIORES Y CULTO,10,14.5,69
B,comercio sectorial,comision_primer_giro,COMERCIO,3,4.3,69
B,comercio sectorial,comision_primer_giro,ENERGIA Y COMBUSTIBLES,1,1.4,69
B,comercio sectorial,grupo_primer_giro,Agricultura y ganaderia,55,79.7,69
B,comercio sectorial,grupo_primer_giro,Relaciones exteriores y Mercosur,10,14.5,69
B,comercio sectorial,grupo_primer_giro,Comercio e industria,3,4.3,69
B,comercio sectorial,grupo_primer_giro,Economia y trabajo,1,1.4,69
C,Mercosur institucional,comision_primer_giro,RELACIONES EXTERIORES Y CULTO,133,36.9,360
C,Mercosur institucional,comision_primer_giro,MERCOSUR,90,25.0,360
C,Mercosur institucional,comision_primer_giro,ASUNTOS CONSTITUCIONALES,54,15.0,360
C,Mercosur institucional,comision_primer_giro,BICAMERAL PERMANENTE DE TRAMITE LEGISLATIVO - LEY 26122,15,4.2,360
C,Mercosur institucional,comision_primer_giro,EDUCACION,10,2.8,360
C,Mercosur institucional,comision_primer_giro,LEGISLACION GENERAL,9,2.5,360
C,Mercosur institucional,comision_primer_giro,AGRICULTURA Y GANADERIA,7,1.9,360
C,Mercosur institucional,comision_primer_giro,COMERCIO,5,1.4,360
C,Mercosur institucional,comision_primer_giro,"PETICIONES, PODERES Y REGLAMENTO",5,1.4,360
C,Mercosur institucional,comision_primer_giro,PRESUPUESTO Y HACIENDA,4,1.1,360
C,Mercosur institucional,comision_primer_giro,PARLAMENTARIA MIXTA REVISORA DE CUENTAS,3,0.8,360
C,Mercosur institucional,comision_primer_giro,RECURSOS NATURALES Y CONSERVACION DEL AMBIENTE HUMANO,3,0.8,360
C,Mercosur institucional,comision_primer_giro,LEGISLACION DEL TRABAJO,3,0.8,360
C,Mercosur institucional,comision_primer_giro,ENERGIA Y COMBUSTIBLES,3,0.8,360
C,Mercosur institucional,comision_primer_giro,ACCION SOCIAL Y SALUD PUBLICA,3,0.8,360
