periodo,clave,n,pct,base
2008-2015,Relaciones exteriores y Mercosur,147,40.5,363
2008-2015,Otras,78,21.5,363
2008-2015,Agricultura y ganaderia,60,16.5,363
2008-2015,Recursos naturales y ambiente,55,15.2,363
2008-2015,Presupuesto y hacienda,10,2.8,363
2008-2015,Comercio e industria,7,1.9,363
2008-2015,Economia y trabajo,6,1.7,363
2016-2025,Relaciones exteriores y Mercosur,109,44.3,246
2016-2025,Otras,66,26.8,246
2016-2025,Recursos naturales y ambiente,47,19.1,246
2016-2025,Agricultura y ganaderia,17,6.9,246
2016-2025,Presupuesto y hacienda,4,1.6,246
2016-2025,Economia y trabajo,2,0.8,246
2016-2025,Comercio e industria,1,0.4,246
