anio,proyecto_id,tipo,requisito,modo,titulo
2009,HCDN104135,DECLARACION,no,reaccion,SOLICITUD AL PODER EJECUTIVO DISPONGA RESTABLECER LAS EXPORTACIONES FRUTIHORTICOLAS A LA REPUBLICA DE MEXICO.
2010,HCDN114085,RESOLUCION,si,reaccion,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE DIVERSAS CUESTIONES RELACIONADAS CON RESTRICCIONES A EXPORTACIONES DE SOJA Y DERIVADOS CON DESTINO A LA REPUBLICA DE CHINA.
2010,HCDN114515,DECLARACION,no,reaccion,EXPRESAR PREOCUPACION POR EL CONFLICTO SUSCITADO RESPECTO A LAS EXPORTACIONES DE ACEITE DE SOJA A LA REPUBLICA POPULAR CHINA.
2010,HCDN114666,DECLARACION,no,reaccion,"EXPRESAR PREOCUPACION POR LAS REITERADAS IRREGULARIDADES EN QUE INCURRE LA REPUBLICA ARGENTINA EN MATERIA DE COMERCIO INTERNACIONAL, EN ESPECIAL LAS EXPORTACIONES A RUSIA."
2010,HCDN114903,DECLARACION,no,reaccion,"EXPRESAR PREOCUPACION POR LA DECISION DE CHINA, DE SUSPENDER LAS EXPORTACIONES DE ACEITE DE SOJA DE ORIGEN ARGENTINO."
2010,HCDN117691,MENSAJE,no,ejecutivo_o_norma,"COMUNICACION DEL DECRETO 834/10 POR EL CUAL SE EXIME AL MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA DEL PAGO DEL DERECHO DE EXPORTACION PARA CONSUMO DE TREINTA Y CINCO (35) SISMOGRAFOS PORTATILES DE BANDA ANCHA PERTENECIENTES A LA INSTITUCION IRIS - PASSCAL DE LOS ESTADOS UNIDOS DE AMERICA."
2010,HCDN117692,MENSAJE,no,ejecutivo_o_norma,"COMUNICACION DEL DECRETO 835/10 POR EL CUAL SE EXIME AL MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA DEL PAGO DEL DERECHO DE EXPORTACION PARA CONSUMO DE CUARENTA - 40 - SISMOGRAFOS PORTATILES DE BANDA ANCHA PERTENECIENTES A LA INSTITUCION IRIS - PASSCAL DE LOS ESTADOS UNIDOS DE AMERICA."
2011,HCDN124890,RESOLUCION,no,celebracion,"EXPRESAR BENEPLACITO POR EL EMPRENDIMIENTO PRODUCTIVO DE UNA EMPRESA RADICADA EN LA PROVINCIA DE SANTIAGO DEL ESTERO, LA CUAL COMENZO A EXPORTAR ALFALFA A LOS EMIRATOS ARABES."
2013,HCDN153100,DECLARACION,no,celebracion,EXPRESAR BENEPLACITO POR LA AUTORIZACION QUE OTORGO LA REPUBLICA POPULAR CHINA A ONCE CENTROS DE GENETICA BOVINA ARGENTINOS PARA LA EXPORTACION DE SEMEN Y EMBRIONES BOVINOS AL PAIS ASIATICO.
2014,HCDN168314,LEY,no,ejecutivo_o_norma,EXPORTACION DE VINO GENERICO BLANCO Y/O TINTO A LA FEDERACION DE RUSIA. SE OTORGA UN SUBSIDIO POR EL VALOR DE 0.08 CENTAVOS DE DOLAR.
2015,HCDN177159,RESOLUCION,no,consulta,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LA APERTURA DEL MERCADO DE LOS ESTADOS UNIDOS DE AMERICA PARA LA CARNE FRESCA DE ORIGEN ARGENTINO, Y OTRAS CUESTIONES CONEXAS."
2015,HCDN179580,DECLARACION,no,celebracion,"EXPRESAR BENEPLACITO POR LA DECISION DE LA REPUBLICA POPULAR CHINA, DE ANALIZAR LA APERTURA DE SU MERCADO A LA EXPORTACION DE MIEL ARGENTINA."
2016,HCDN190777,RESOLUCION,no,consulta,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE EL VOLUMEN DE EXPORTACIONES DE PRODUCTOS DE LA REPUBLICA ARGENTINA HACIA LA REPUBLICA POPULAR CHINA ENTRE EL 10 DE DICIEMBRE DE 2007 Y EL 9 DE DICIEMBRE DE 2015, Y OTRAS CUESTIONES CONEXAS."
2017,HCDN196218,RESOLUCION,si,reaccion,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE DIVERSAS CUESTIONES RELACIONADAS A LA SUSPENSION DE LA EXPORTACION DE LIMONES A ESTADOS UNIDOS.
2018,HCDN221177,RESOLUCION,no,celebracion,"EXPRESAR BENEPLACITO POR LA EXPORTACION DE 22 TONELADAS DE MANDARINAS ENTRERRIANAS, A SHANGAI, REPUBLICA POPULAR DE CHINA, REALIZADA EL 16 DE AGOSTO DE 2018."
2019,HCDN231145,DECLARACION,no,celebracion,EXPRESAR BENEPLACITO POR LA EXPORTACION A JAPON DE UN PRODUCTO DE LA EMPRESA NOVARTEK S.R.L. PARA LA DETECCION TEMPRANA DE EFECTOS SECUNDARIOS A PERSONAS BAJO TRATAMIENTO MEDICO.
2019,HCDN235441,RESOLUCION,no,celebracion,"EXPRESAR BENEPLACITO POR LA PRIMERA EXPORTACION DE MADERA DE EUCALIPTO, DESDE LA PROVINCIA DE ENTRE RIOS A LA REPUBLICA POPULAR CHINA."
2020,HCDN245308,RESOLUCION,no,consulta,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE DIVERSAS CUESTIONES RELACIONADAS CON LA EXPORTACION DE CARNE PORCINA DESDE LA REPUBLICA DE CHINA.
