id,apellido,nombre,distrito,bloque,inicio,fin,fuente
SUPL_AMENTA,AMENTA,MARCELO EDUARDO,BUENOS AIRES,RECREAR,2005-12-10,2009-12-09,"Wikipedia, Anexo:Diputados nacionales de Argentina (2007-2009), snapshot 28-oct-2007"
SUPL_AZCOITI,AZCOITI,PEDRO JOSÉ,BUENOS AIRES,UCR,2005-12-10,2009-12-09,"Wikipedia, Anexo:Diputados nacionales de Argentina (2007-2009), snapshot 28-oct-2007"
SUPL_BARAGIOLA,BARAGIOLA,VILMA ROSANA,BUENOS AIRES,UCR,2005-12-10,2009-12-09,"Wikipedia, Anexo:Diputados nacionales de Argentina (2007-2009), snapshot 28-oct-2007"
SUPL_BASTEIRO,BASTEIRO,ARIEL,BUENOS AIRES,ENCUENTRO POPULAR Y SOCIAL,2005-12-10,2009-12-09,"Wikipedia, Anexo:Diputados nacionales de Argentina (2007-2009), snapshot 28-oct-2007"
HCDN1097,BERNAZZA,CLAUDIA ALICIA,BUENOS AIRES,FRENTE PARA LA VICTORIA - PJ,2005-12-10,2009-12-09,"Wikipedia, Anexo:Diputados nacionales de Argentina (2007-2009), snapshot 28-oct-2007"
SUPL_BIANCHI_SILVESTRE,BIANCHI SILVESTRE,MARCELA ALEJANDRA,BUENOS AIRES,FRENTE PARA LA VICTORIA - PJ,2005-12-10,2009-12-09,"Wikipedia, Anexo:Diputados nacionales de Argentina (2007-2009), snapshot 28-oct-2007"
HCDN1070,BIDEGAIN,GLORIA,BUENOS AIRES,FRENTE PARA LA VICTORIA - PJ,2005-12-10,2009-12-09,"Wikipedia, Anexo:Diputados nacionales de Argentina (2007-2009), snapshot 28-oct-2007"
SUPL_BURZACO,BURZACO,EUGENIO,BUENOS AIRES,PRO,2005-12-10,2009-12-09,"Wikipedia, Anexo:Diputados nacionales de Argentina (2007-2009), snapshot 28-oct-2007"
SUPL_CAMANO,CAMAÑO,DANTE ALBERTO,BUENOS AIRES,NACIONAL SINDICAL - PJ,2005-12-10,2009-12-09,"Wikipedia, Anexo:Diputados nacionales de Argentina (2007-2009), snapshot 28-oct-2007"
HCDN0864,CARLOTTO,REMO GERARDO,BUENOS AIRES,FRENTE PARA LA VICTORIA - PJ,2005-12-10,2009-12-09,"Wikipedia, Anexo:Diputados nacionales de Argentina (2007-2009), snapshot 28-oct-2007"
