unidad,nivel,region,relevantes,dom_B,dom_D,banca_anios,tasa_100ba
BUENOS AIRES,distrito,PAMPEANA,152,19,29,1270.3,11.97
CATAMARCA,distrito,NOA,10,0,0,89.5,11.18
CHACO,distrito,NEA,12,5,2,127.8,9.39
CHUBUT,distrito,PATAGONIA,6,0,3,89.6,6.69
CIUDAD DE BUENOS AIRES,distrito,CABA,94,2,12,451.2,20.83
CORDOBA,distrito,PAMPEANA,33,5,17,322.4,10.24
CORRIENTES,distrito,NEA,16,4,4,125.8,12.72
ENTRE RIOS,distrito,PAMPEANA,19,2,5,161.8,11.74
FORMOSA,distrito,NEA,6,0,1,89.8,6.68
JUJUY,distrito,NOA,4,0,1,107.6,3.72
LA PAMPA,distrito,PAMPEANA,5,3,0,89.8,5.57
LA RIOJA,distrito,NOA,21,11,7,91.6,22.92
MENDOZA,distrito,CUYO,29,1,6,181.3,15.99
MISIONES,distrito,NEA,30,0,10,125.9,23.84
NEUQUEN,distrito,PATAGONIA,5,0,3,91.6,5.46
RIO NEGRO,distrito,PATAGONIA,10,1,8,91.7,10.91
SALTA,distrito,NOA,18,0,13,127.9,14.08
SAN JUAN,distrito,CUYO,7,0,0,107.7,6.5
SAN LUIS,distrito,CUYO,26,9,11,91.5,28.42
SANTA CRUZ,distrito,PATAGONIA,2,0,1,89.8,2.23
SANTA FE,distrito,PAMPEANA,32,3,13,341.2,9.38
TIERRA DEL FUEGO,distrito,PATAGONIA,9,0,4,89.6,10.04
TUCUMAN,distrito,NOA,12,4,0,162.6,7.38
NEA,region,NEA,64,9,17,469.2,13.64
NOA,region,NOA,65,15,21,704.6,9.23
CUYO,region,CUYO,62,10,17,380.5,16.29
PAMPEANA,region,PAMPEANA,241,32,64,2185.5,11.03
PATAGONIA,region,PATAGONIA,32,1,19,452.4,7.07
CABA,region,CABA,94,2,12,451.2,20.83
