proyecto_id,anio,tipo,dominio,marco,titulo
HCDN093102,2008,LEY,B,externo,"CUOTA HILTON, CRITERIOS PARA LA ASIGNACION DE CUPOS DE EXPORTACION DE CORTES ENFRIADOS DE CARNE BOVINA: OBJETO, AUTORIDAD DE APLICACION, CUPO MAXIMO, PLAZOS SANCIONES."
HCDN093479,2008,LEY,C,externo,CREACION DEL CARGO DE ENLACE PARLAMENTARIO EN EL AMBITO DEL CONGRESO DE LA NACION EN LAS AREAS MERCOSUR Y RELACIONES EXTERIORES Y CULTO (REPRODUCCION DEL EXPEDIENTE 6923-D-06).
HCDN094656,2008,MENSAJE Y PROYECTO DE LEY,C,externo,"APROBACION DEL PROTOCOLO SOBRE TRASLADO DE PERSONAS SUJETAS A REGIMENES ESPECIALES (COMPLEMENTARIO AL ACUERDO SOBRE TRASLADO DE PERSONAS CONDENADAS, ENTRE LOS ESTADOS PARTES DEL MERCOSUR Y LA REPUBLICA DE BOLIVIA Y LA REPUBLICA DE CHILE), SUSCRIPTO EN ASUNCION, REPUBLICA DEL PARAGUAY, EL 20 DE JUNIO DE 2005."
HCDN094027,2008,RESOLUCION,B,externo,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LOS CUPOS ADJUDICADOS PARA EXPORTACION DE CARNE SEGUN LA RESOLUCION 935/06 DEL MINISTERIO DE ECONOMIA Y PRODUCCION, DESDE EL 1 DE JUNIO DE 2007 AL 31 DE MARZO DE 2008."
HCDN094366,2008,DECLARACION,C,externo,EXPRESAR BENEPLACITO POR LA DESIGNACION DE LA PROVINCIA DE TUCUMAN COMO SEDE DE LA CUMBRE DE JEFES DE ESTADO DEL MERCOSUR Y PAISES ASOCIADOS.
HCDN094431,2008,RESOLUCION,C,externo,CREACION DE LA UNIDAD DE ENLACE CON EL PARLAMENTO DEL MERCOSUR EN EL AMBITO DE LA HONORABLE CAMARA DE DIPUTADOS DE LA NACION.
HCDN094482,2008,DECLARACION,B,externo,"EXPRESAR PREOCUPACION POR EL CIERRE DE LAS EXPORTACIONES DE LA DENOMINADA ""CUOTA HILTON""."
HCDN096122,2008,RESOLUCION,C,externo,"SOLICITAR AL PODER EJECUTIVO DISPONGA DECLARAR DE INTERES NACIONAL LA ""CUMBRE DE JEFES DE ESTADO DEL MERCOSUR"", A REALIZARSE LOS DIAS 30 DE JUNIO Y 1 DE JULIO DE 2008 EN LA CIUDAD CAPITAL DE LA PROVINCIA DE TUCUMAN."
HCDN096387,2008,RESOLUCION,C,externo,"DECLARAR DE INTERES DE LA H CAMARA LA PROXIMA REUNION DEL CONSEJO MERCADO COMUN - CMC - Y LA CUMBRE DE PRESIDENTES DE LOS PAISES MIEMBROS DEL MERCOSUR, A REALIZARSE LOS DIAS 30 DE JUNIO Y 1 DE JULIO DE 2008, RESPECTIVAMENTE, EN LA CIUDAD DE SAN MIGUEL DE TUCUMAN."
HCDN096591,2008,DECLARACION,B,externo,"EXPRESAR DESAGRADO POR EL INCUMPLIMIENTO DE LA ""CUOTA HILTON"" ASIGNADA PARA EL PRESENTE PERIODO."
