familia,presidencia,gobierno,n,neutra,pro_liberalizacion,defensiva,condicionada,pct_no_neutra,dom_A,dom_B,dom_C,dom_D
cc_ari,cfk_2008_2015,no,21,18,3,0,0,14.3,0,4,13,4
cc_ari,fernandez_2019_2023,no,4,4,0,0,0,0.0,1,0,3,0
cc_ari,macri_2015_2019,si,5,5,0,0,0,0.0,1,0,4,0
cc_ari,milei_2023_2025,no,2,2,0,0,0,0.0,0,0,1,1
izquierda_progresista,cfk_2008_2015,no,22,22,0,0,0,0.0,0,0,7,15
izquierda_progresista,fernandez_2019_2023,no,2,2,0,0,0,0.0,0,0,0,2
izquierda_progresista,macri_2015_2019,no,7,7,0,0,0,0.0,0,0,2,5
izquierda_progresista,milei_2023_2025,no,7,7,0,0,0,0.0,3,0,1,3
kirchnerismo,cfk_2008_2015,si,90,80,6,4,0,11.1,0,4,75,11
kirchnerismo,fernandez_2019_2023,si,30,25,5,0,0,16.7,0,0,21,9
kirchnerismo,macri_2015_2019,no,34,31,1,2,0,8.8,6,1,20,7
kirchnerismo,milei_2023_2025,no,20,19,0,1,0,5.0,1,0,11,8
lla,milei_2023_2025,si,2,2,0,0,0,0.0,0,0,2,0
otros,cfk_2008_2015,no,22,18,4,0,0,18.2,3,2,15,2
peronismo_federal,cfk_2008_2015,no,52,43,5,4,0,17.3,1,16,20,15
peronismo_federal,fernandez_2019_2023,no,2,2,0,0,0,0.0,0,0,0,2
peronismo_federal,macri_2015_2019,no,19,18,1,0,0,5.3,6,1,1,11
peronismo_federal,milei_2023_2025,no,3,2,1,0,0,33.3,0,0,0,3
pro,cfk_2008_2015,no,51,46,5,0,0,9.8,0,11,35,5
pro,fernandez_2019_2023,no,24,21,3,0,0,12.5,1,0,22,1
pro,macri_2015_2019,si,11,8,3,0,0,27.3,1,1,6,3
pro,milei_2023_2025,no,10,7,3,0,0,30.0,1,0,6,3
provinciales,cfk_2008_2015,no,15,15,0,0,0,0.0,0,3,8,4
provinciales,fernandez_2019_2023,no,3,1,2,0,0,66.7,1,0,1,1
provinciales,macri_2015_2019,no,6,6,0,0,0,0.0,0,0,2,4
provinciales,milei_2023_2025,no,4,4,0,0,0,0.0,0,0,1,3
ucr,cfk_2008_2015,no,55,36,17,2,0,34.5,1,26,15,13
ucr,fernandez_2019_2023,no,18,16,2,0,0,11.1,0,0,7,11
ucr,macri_2015_2019,si,10,10,0,0,0,0.0,0,0,9,1
ucr,milei_2023_2025,no,7,4,2,1,0,42.9,1,0,3,3
