diputado_id,anio,exposure,familia,distrito,region,fase,electoral,gobierno,n_rel,n_rel_d
HCDN1136,2009,0.0602,provinciales,SANTIAGO DEL ESTERO,NOA,f1_impasse,1,0,0,0
HCDN1136,2010,0.9993,provinciales,SANTIAGO DEL ESTERO,NOA,f2_relanzamiento,0,0,0,0
HCDN1136,2011,0.9993,provinciales,SANTIAGO DEL ESTERO,NOA,f2_relanzamiento,1,0,0,0
HCDN1136,2012,1.0021,provinciales,SANTIAGO DEL ESTERO,NOA,f2_relanzamiento,0,0,0,0
HCDN1136,2013,0.9993,provinciales,SANTIAGO DEL ESTERO,NOA,f2_relanzamiento,1,0,0,0
HCDN1136,2014,0.9993,provinciales,SANTIAGO DEL ESTERO,NOA,f2_relanzamiento,0,0,0,0
HCDN1136,2015,0.9993,provinciales,SANTIAGO DEL ESTERO,NOA,f2_relanzamiento,1,0,0,0
HCDN1136,2016,1.0021,provinciales,SANTIAGO DEL ESTERO,NOA,f3_reactivacion,0,0,0,0
HCDN1136,2017,0.9993,provinciales,SANTIAGO DEL ESTERO,NOA,f3_reactivacion,1,0,0,0
HCDN1136,2018,0.9993,provinciales,SANTIAGO DEL ESTERO,NOA,f3_reactivacion,0,0,0,0
HCDN1136,2019,0.9993,provinciales,SANTIAGO DEL ESTERO,NOA,f3_reactivacion,1,0,0,0
HCDN1136,2020,1.0021,kirchnerismo,SANTIAGO DEL ESTERO,NOA,f4_paralisis,0,1,0,0
HCDN1136,2021,0.9391,kirchnerismo,SANTIAGO DEL ESTERO,NOA,f4_paralisis,1,1,0,0
HCDN1382,2013,0.0602,kirchnerismo,MENDOZA,CUYO,f2_relanzamiento,1,1,0,0
HCDN1382,2014,0.9993,kirchnerismo,MENDOZA,CUYO,f2_relanzamiento,0,1,0,0
HCDN1382,2015,0.9993,kirchnerismo,MENDOZA,CUYO,f2_relanzamiento,1,1,0,0
HCDN1382,2016,1.0021,kirchnerismo,MENDOZA,CUYO,f3_reactivacion,0,0,1,0
HCDN1382,2017,0.9391,kirchnerismo,MENDOZA,CUYO,f3_reactivacion,1,0,0,0
HCDN1441,2015,0.0602,pro,BUENOS AIRES,PAMPEANA,f2_relanzamiento,1,0,0,0
HCDN1441,2016,1.0021,pro,BUENOS AIRES,PAMPEANA,f3_reactivacion,0,1,0,0
HCDN1441,2017,0.9993,pro,BUENOS AIRES,PAMPEANA,f3_reactivacion,1,1,0,0
HCDN1441,2018,0.9993,pro,BUENOS AIRES,PAMPEANA,f3_reactivacion,0,1,0,0
HCDN1441,2019,0.9391,pro,BUENOS AIRES,PAMPEANA,f3_reactivacion,1,1,0,0
HCDN0055,2023,0.0684,provinciales,SANTA CRUZ,PATAGONIA,f4_paralisis,1,0,0,0
HCDN0055,2024,1.0021,provinciales,SANTA CRUZ,PATAGONIA,f5_cierre,0,0,0,0
HCDN0055,2025,0.7064,provinciales,SANTA CRUZ,PATAGONIA,f5_cierre,1,0,0,0
HCDN0970,2008,1.0021,kirchnerismo,CATAMARCA,NOA,f1_impasse,0,1,0,0
HCDN0970,2009,0.9993,kirchnerismo,CATAMARCA,NOA,f1_impasse,1,1,0,0
HCDN0970,2010,0.9993,kirchnerismo,CATAMARCA,NOA,f2_relanzamiento,0,1,0,0
HCDN0970,2011,0.9391,kirchnerismo,CATAMARCA,NOA,f2_relanzamiento,1,1,0,0
HCDN3018,2023,0.3587,pro,CORDOBA,PAMPEANA,f4_paralisis,1,0,0,0
HCDN3018,2024,1.0021,peronismo_federal,CORDOBA,PAMPEANA,f5_cierre,0,0,0,0
HCDN3018,2025,0.9391,peronismo_federal,CORDOBA,PAMPEANA,f5_cierre,1,0,0,0
HCDN0971,2008,1.0021,kirchnerismo,SANTA FE,PAMPEANA,f1_impasse,0,1,0,0
HCDN0971,2009,0.9993,peronismo_federal,SANTA FE,PAMPEANA,f1_impasse,1,0,0,0
HCDN0971,2010,0.9993,peronismo_federal,SANTA FE,PAMPEANA,f2_relanzamiento,0,0,0,0
HCDN0971,2011,0.9391,peronismo_federal,SANTA FE,PAMPEANA,f2_relanzamiento,1,0,0,0
HCDN0845,2008,1.0021,ucr,CORDOBA,PAMPEANA,f1_impasse,0,0,0,0
HCDN0845,2009,0.9993,ucr,CORDOBA,PAMPEANA,f1_impasse,1,0,0,0
HCDN0845,2010,0.9993,ucr,CORDOBA,PAMPEANA,f2_relanzamiento,0,0,0,0
