distrito,macizos,superficie_ha
CORRIENTES,51782,470024
MISIONES,111181,400095
ENTRE RIOS,29948,137482
BUENOS AIRES,50391,105483
NEUQUEN,13609,61550
CHUBUT,6492,36869
CORDOBA,1940,20938
JUJUY,2321,14410
RIO NEGRO,4091,11596
SANTA FE,1481,8903
CHACO,1016,6373
SANTIAGO DEL ESTERO,472,6301
SALTA,1179,6143
MENDOZA,2127,6065
TUCUMAN,1210,3468
FORMOSA,1124,3022
LA PAMPA,153,1085
SAN JUAN,312,727
LA RIOJA,15,388
CATAMARCA,136,331
SAN LUIS,53,316
SANTA CRUZ,8,6
TIERRA DEL FUEGO,2,2
CIUDAD DE BUENOS AIRES,0,0
