anio,total_hcdn,candidatos,relevantes,dom_A,dom_B,dom_C,dom_D,ley,resolucion,declaracion,mensaje_ley,mensaje,indice_ponderado,tasa_1000,electoral,hito
2008,6017,117,31,0,6,19,6,5,17,8,1,0,60,5.15,no,
2009,5533,102,30,0,1,22,7,8,15,6,1,0,63,5.42,si,
2010,7749,163,65,1,11,44,9,12,27,11,0,15,116,8.39,no,relanzamiento Madrid (may)
2011,5639,114,37,0,5,26,6,12,14,4,7,0,89,6.56,si,
2012,7799,178,63,0,17,39,7,10,27,23,3,0,116,8.08,no,
2013,6746,110,42,0,11,16,15,8,19,14,1,0,79,6.23,si,
2014,8400,188,60,2,11,37,10,14,36,9,1,0,126,7.14,no,
2015,5839,96,35,2,4,18,11,12,20,2,1,0,81,5.99,si,
2016,6758,109,34,2,2,22,8,9,12,10,3,0,70,5.03,no,intercambio de ofertas (may)
2017,5929,88,19,1,0,10,8,6,8,4,1,0,41,3.2,si,
2018,6884,76,19,2,0,8,9,8,7,2,2,0,46,2.76,no,
2019,5173,63,27,9,1,11,6,7,16,4,0,0,57,5.22,si,acuerdo politico (jun)
2020,6454,93,38,1,0,25,12,6,18,12,2,0,72,5.89,no,
2021,5040,101,25,1,0,18,6,5,9,9,2,0,48,4.96,si,
2022,6005,70,21,0,0,15,6,9,6,3,3,0,51,3.5,no,
2023,4192,42,8,1,0,5,2,2,3,1,2,0,19,1.91,si,
2024,5374,78,36,3,0,13,20,10,23,3,0,0,79,6.7,no,cierre negociacion (dic)
2025,4969,68,19,3,0,12,4,4,11,4,0,0,38,3.82,si,
