trimestre,relevantes,hito
2008Q1,1,
2008Q2,14,
2008Q3,11,
2008Q4,5,
2009Q1,4,
2009Q2,7,
2009Q3,8,
2009Q4,11,
2010Q1,8,
2010Q2,31,Madrid
2010Q3,18,
2010Q4,8,
2011Q1,10,
2011Q2,12,
2011Q3,7,
2011Q4,8,
2012Q1,12,
2012Q2,22,
2012Q3,19,
2012Q4,10,
2013Q1,11,
2013Q2,16,
2013Q3,4,
2013Q4,11,
2014Q1,18,
2014Q2,19,
2014Q3,12,
2014Q4,11,
2015Q1,12,
2015Q2,7,
2015Q3,13,
2015Q4,3,
2016Q1,6,
2016Q2,7,ofertas
2016Q3,10,
2016Q4,11,
2017Q1,6,
2017Q2,6,
2017Q3,7,
2018Q1,6,
2018Q2,3,
2018Q3,7,
2018Q4,3,
2019Q1,7,
2019Q2,6,acuerdo politico
2019Q3,12,
2019Q4,2,
2020Q1,1,
2020Q2,20,
2020Q3,7,
2020Q4,10,
2021Q1,16,
2021Q2,5,
2021Q3,1,
2021Q4,3,
2022Q1,9,
2022Q2,6,
2022Q3,4,
2022Q4,2,
2023Q1,2,
2023Q2,3,
2023Q3,2,
2023Q4,1,
2024Q1,4,
2024Q2,7,
2024Q3,11,
2024Q4,14,cierre
2025Q1,7,
2025Q2,5,
2025Q3,4,
2025Q4,3,
