anio,total_hcdn,eje_dom_b,eje_dom_b_tasa,eje_dom_d,eje_dom_d_tasa,c1_bosque,c1_bosque_tasa,c2_comex,c2_comex_tasa,c3_destinos,c3_destinos_req
2008,6017,6,1.0,6,1.0,32,5.32,130,21.61,0,0
2009,5533,1,0.18,7,1.27,16,2.89,79,14.28,1,0
2010,7749,11,1.42,9,1.16,15,1.94,112,14.45,6,1
2011,5639,5,0.89,6,1.06,19,3.37,74,13.12,1,0
2012,7799,17,2.18,7,0.9,23,2.95,126,16.16,0,0
2013,6746,11,1.63,15,2.22,29,4.3,88,13.04,1,0
2014,8400,11,1.31,10,1.19,24,2.86,117,13.93,1,0
2015,5839,4,0.69,11,1.88,31,5.31,94,16.1,2,0
2016,6758,2,0.3,8,1.18,15,2.22,67,9.91,1,0
2017,5929,0,0.0,8,1.35,18,3.04,66,11.13,1,1
2018,6884,0,0.0,9,1.31,18,2.61,57,8.28,1,0
2019,5173,1,0.19,6,1.16,16,3.09,43,8.31,2,0
2020,6454,0,0.0,12,1.86,16,2.48,55,8.52,1,0
2021,5040,0,0.0,6,1.19,25,4.96,57,11.31,0,0
2022,6005,0,0.0,6,1.0,23,3.83,70,11.66,0,0
2023,4192,0,0.0,2,0.48,16,3.82,54,12.88,0,0
2024,5374,0,0.0,20,3.72,17,3.16,35,6.51,0,0
2025,4969,0,0.0,4,0.8,7,1.41,52,10.46,0,0
