proyecto_id,anio,tipo,dominio,marco,exp,ruta,chars
HCDN093102,2008,LEY,B,,0969-D-2008,html,35960
HCDN093479,2008,LEY,C,,1254-D-2008,ninguna,0
HCDN094656,2008,MENSAJE Y PROYECTO DE LEY,C,,0112-S-2008,ninguna,0
HCDN094027,2008,RESOLUCION,B,,1590-D-2008,html,8973
HCDN094366,2008,DECLARACION,C,,1828-D-2008,html,2986
HCDN094431,2008,RESOLUCION,C,,1891-D-2008,html,4206
HCDN094482,2008,DECLARACION,B,,1922-D-2008,html,9571
HCDN095325,2008,RESOLUCION,D,domestico,2453-D-2008,html,5051
HCDN096122,2008,RESOLUCION,C,,2993-D-2008,html,3641
HCDN096123,2008,RESOLUCION,D,domestico,3039-D-2008,html,3171
HCDN096387,2008,RESOLUCION,C,,3190-D-2008,html,3512
HCDN096591,2008,DECLARACION,B,,3414-D-2008,html,5674
HCDN096787,2008,RESOLUCION,C,,3531-D-2008,html,4569
HCDN097295,2008,LEY,C,,4009-D-2008,html,7044
HCDN097372,2008,RESOLUCION,D,domestico,4086-D-2008,html,2986
HCDN097678,2008,RESOLUCION,B,,4245-D-2008,html,8678
HCDN097850,2008,RESOLUCION,D,domestico,4339-D-2008,html,4820
HCDN097988,2008,RESOLUCION,C,,4451-D-2008,html,5840
HCDN098039,2008,DECLARACION,C,,4490-D-2008,html,4634
HCDN099495,2008,RESOLUCION,C,,5366-D-2008,html,5405
HCDN100142,2008,RESOLUCION,C,,5781-D-2008,html,3523
HCDN100298,2008,DECLARACION,D,domestico,5885-D-2008,html,5237
HCDN101002,2008,RESOLUCION,D,domestico,6475-D-2008,html,4787
HCDN101557,2008,LEY,C,,6819-D-2008,html,4903
HCDN102504,2009,RESOLUCION,D,domestico,6941-D-2008,html,6200
HCDN103082,2009,RESOLUCION,C,,0107-D-2009,html,4432
HCDN103693,2009,LEY,C,,0556-D-2009,html,5923
HCDN104495,2009,LEY,C,,1453-D-2009,html,6758
HCDN104677,2009,RESOLUCION,D,domestico,1601-D-2009,html,3507
HCDN105835,2009,DECLARACION,C,,2462-D-2009,html,5060
HCDN106321,2009,LEY,C,,2692-D-2009,html,4550
HCDN106379,2009,DECLARACION,C,,2719-D-2009,html,4894
HCDN107491,2009,LEY,D,domestico,3299-D-2009,html,22687
HCDN107687,2009,DECLARACION,C,,3489-D-2009,html,3903
HCDN107753,2009,LEY,C,,3574-D-2009,html,14564
HCDN107798,2009,RESOLUCION,C,,3607-D-2009,html,3327
HCDN108164,2009,LEY,C,,3835-D-2009,html,6140
HCDN109062,2009,DECLARACION,D,domestico,4608-D-2009,html,7270
HCDN109064,2009,LEY,C,,4634-D-2009,html,11036
HCDN110169,2009,RESOLUCION,C,,5402-D-2009,html,3626
HCDN110192,2009,RESOLUCION,C,,5444-D-2009,html,7963
HCDN110418,2009,RESOLUCION,D,domestico,5564-D-2009,html,6674
HCDN112085,2009,MENSAJE Y PROYECTO DE LEY,C,,0013-S-2010,ninguna,0
HCDN110810,2009,RESOLUCION,D,domestico,5845-D-2009,html,5343
HCDN111105,2009,RESOLUCION,D,domestico,6060-D-2009,html,6910
HCDN111200,2009,RESOLUCION,B,,6111-D-2009,html,5014
HCDN111486,2010,MENSAJE,C,,0026-JGM-2009,ninguna,0
HCDN112186,2010,RESOLUCION,C,,6227-D-2009,html,8864
HCDN112458,2010,RESOLUCION,B,,0126-D-2010,html,3041
HCDN112513,2010,RESOLUCION,C,,0236-D-2010,html,7006
HCDN114255,2010,DECLARACION,C,,1812-D-2010,html,5720
HCDN114567,2010,MENSAJE,C,,0007-JGM-2010,ninguna,0
HCDN114793,2010,RESOLUCION,D,domestico,2466-D-2010,html,4462
HCDN115114,2010,DECLARACION,C,,2551-D-2010,html,8773
