proyecto_id,titulo,publicacion_fecha,anio,tipo,autor,relevante,dominio,tema,orientacion,saliencia,fuente_etiqueta,flag_revision,notas
HCDN092434,"DECLARAR DE INTERES CIENTIFICO EL DESARROLLO CONJUNTO DE LA UBA Y LA UNIVERSIDAD DE OXFORD, REFERIDO A TECNICAS DE NANOTECNOLOGIA PARA LOGRAR UN ALUMINIO DURO COMO EL ACERO.",2008-03-04T00:00:00,2008,DECLARACION,"CAMAÑO, DANTE ALBERTO",false,ninguno,,,,corpus,no,acero incidental
HCDN092511,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LA DISMINUCION EN LA PRODUCCION DE CARNE EN EL PERIODO 2006 - 2007.,2008-03-05T00:00:00,2008,RESOLUCION,"BIANCHI, IVANA MARIA",false,ninguno,,,,corpus,no,
HCDN092667,"EXPRESAR RECHAZO POR LAS AMENAZAS E INTIMIDACIONES DEL SECRETARIO DE COMERCIO INTERIOR A LA ""CAMARA DE INDUSTRIA Y COMERCIO DE CARNES DE LA REPUBLICA ARGENTINA - CICCRA -"".",2008-03-10T00:00:00,2008,RESOLUCION,"GARCIA HAMILTON, JOSE IGNACIO",false,ninguno,,,,corpus,no,
HCDN092867,"PROGRAMA DE NORMALIZACION DEL COMERCIO DE CARNE BOVINA: OBJETIVO, CORTES, ENVASADO, PLAN GANADERO NACIONAL, SANCIONES.",2008-03-13T00:00:00,2008,LEY,"MORINI, PEDRO JUAN",false,ninguno,,,,corpus,no,
HCDN092979,"MARCO LEGAL PARA LA PRODUCCION, EL PROCESAMIENTO Y LA COMERCIALIZACION DE CARNES VACUNAS (REPRODUCCION DEL EXPEDIENTE 2031-D-06).",2008-03-17T00:00:00,2008,LEY,"PINEDO, FEDERICO",false,ninguno,,,,corpus,no,
HCDN093102,"CUOTA HILTON, CRITERIOS PARA LA ASIGNACION DE CUPOS DE EXPORTACION DE CORTES ENFRIADOS DE CARNE BOVINA: OBJETO, AUTORIDAD DE APLICACION, CUPO MAXIMO, PLAZOS SANCIONES.",2008-03-27T00:00:00,2008,LEY,"CANTERO GUTIERREZ, ALBERTO",true,B,comercio_ue_sectorial,administrativa_neutra,relacionada,corpus,no,regimen de asignacion del cupo Hilton
HCDN093195,"CREACION DEL PROGRAMA FEDERAL DE PROMOCION DE LA GANADERIA BOVINA: CREACION DEL CONSEJO FEDERAL DE LA GANADERIA BOVINA, BENEFICIARIOS, INCENTIVOS FISCALES, RETENCIONES A LAS EXPORTACIONES DE CARNE VACUNA: MAXIMO DEL 5 %, CREACION DEL FONDO FEDERAL DE DESARROLLO DE LA GANADERIA BOVINA, CADUCIDAD DE LOS BENEFICIOS PROMOCIONALES, PLAZOS DE PRESENTACION DE PROYECTOS DE INVERSION.",2008-03-31T00:00:00,2008,LEY,"LUSQUIÑOS, LUIS BERNARDO",false,ninguno,,,,corpus,no,
HCDN093429,"IMPUESTO AL VALOR AGREGADO (IVA), 23349: MODIFICACION DEL ARTICULO 28, SOBRE REDUCCION DE LA ALICUOTA A PRODUCTOS FITOSANITARIOS Y SEMILLAS AL 10,5 %.",2008-04-08T00:00:00,2008,LEY,"FERRO, FRANCISCO JOSE",false,ninguno,,,,corpus,no,
HCDN093479,CREACION DEL CARGO DE ENLACE PARLAMENTARIO EN EL AMBITO DEL CONGRESO DE LA NACION EN LAS AREAS MERCOSUR Y RELACIONES EXTERIORES Y CULTO (REPRODUCCION DEL EXPEDIENTE 6923-D-06).,2008-04-09T00:00:00,2008,LEY,"SOLANAS, RAUL PATRICIO",true,C,mercosur_institucional,administrativa_neutra,relacionada,corpus,no,enlace parlamentario Mercosur
HCDN093772,"DECLARAR DE INTERES DE LA H CAMARA EL ""V ENCUENTRO DE LENGUAS DEL MERCOSUR Y PRIMER ENCUENTRO INTERNACIONAL DE REGIONES ITALIANAS"", A REALIZARSE DEL 10 AL 13 DE SEPTIEMBRE DE 2008 EN LA PROVINCIA DEL CHACO.",2008-04-15T00:00:00,2008,RESOLUCION,"DAMILANO GRIVARELLO, VIVIANA MONICA",false,ninguno,,,,corpus,no,evento
HCDN094656,"APROBACION DEL PROTOCOLO SOBRE TRASLADO DE PERSONAS SUJETAS A REGIMENES ESPECIALES (COMPLEMENTARIO AL ACUERDO SOBRE TRASLADO DE PERSONAS CONDENADAS, ENTRE LOS ESTADOS PARTES DEL MERCOSUR Y LA REPUBLICA DE BOLIVIA Y LA REPUBLICA DE CHILE), SUSCRIPTO EN ASUNCION, REPUBLICA DEL PARAGUAY, EL 20 DE JUNIO DE 2005.",2008-04-15T00:00:00,2008,MENSAJE Y PROYECTO DE LEY,"FERNANDEZ DE KIRCHNER, CRISTINA",true,C,mercosur_institucional,administrativa_neutra,relacionada,corpus,no,protocolo del bloque (traslado condenados)
HCDN093790,"CREACION DE FONDOS NACIONALES ESPECIFICOS PARA EL FORTALECIMIENTO DE LA PRODUCCION CITRICOLA, APICOLA Y ARROCERA: CREACION DEL FONDO NACIONAL DE FORTALECIMIENTO DE LA PRODUCCION CITRICOLA (FONPROCI), CREACION DEL FONDO NACIONAL DE FORTALECIMIENTO DE LA PRODUCCION APICOLA (FONPROAPI), CREACION DEL FONDO NACIONAL DE FORTALECIMIENTO DE LA PRODUCCION ARROCERA (FONPROARR), RECURSOS, CONTROL.",2008-04-16T00:00:00,2008,LEY,"CREMER DE BUSTI, MARIA CRISTINA",false,ninguno,,,,corpus,no,
HCDN093801,"DECLARAR DE INTERES CULTURAL EL DOCUMENTAL ""CARNE VIVA"" DE MARCELO GOYENECHE, QUE MUESTRA LA LUCHA DE LOS OBREROS DEL FRIGORIFICO LISANDRO DE LA TORRE.",2008-04-16T00:00:00,2008,RESOLUCION,"RECALDE, HECTOR PEDRO",false,ninguno,,,,corpus,no,
HCDN094027,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LOS CUPOS ADJUDICADOS PARA EXPORTACION DE CARNE SEGUN LA RESOLUCION 935/06 DEL MINISTERIO DE ECONOMIA Y PRODUCCION, DESDE EL 1 DE JUNIO DE 2007 AL 31 DE MARZO DE 2008.",2008-04-18T00:00:00,2008,RESOLUCION,"FERRO, FRANCISCO JOSE",true,B,comercio_ue_sectorial,administrativa_neutra,relacionada,corpus,si,Res. 935/06 = regimen de cupos Hilton; UE implicita por referente
HCDN094035,"DECLARAR DE INTERES LEGISLATIVO EL ""SEXTO SALON INTERNACIONAL DE TECNOLOGIA VITIVINICOLA Y ARBORICOLA ""SITEVI MERCOSUR 2008"", A REALIZARSE DEL 13 AL 16 DE MAYO DE 2008 EN LA PROVINCIA DE MENDOZA.",2008-04-18T00:00:00,2008,RESOLUCION,"FADEL, PATRICIA SUSANA",false,ninguno,,,,corpus,no,evento
HCDN094039,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LA SUSPENSION DE LAS EXPORTACIONES DE CARNE VACUNA.,2008-04-18T00:00:00,2008,RESOLUCION,"CUSINATO, GUSTAVO",false,ninguno,,,,corpus,si,cierre exportador carne (sonda)
