orden,proyecto_id,relevante_manual,dominio_manual,tema_manual,orientacion_manual,saliencia_manual,flag_revision,notas
1,HCDN096128,false,ninguno,,,,no,
2,HCDN258880,false,ninguno,,,,no,
3,HCDN180275,true,D,eudr_trazabilidad_forestal,administrativa_neutra,relacionada,no,auditoria SENASA incluye trazabilidad ganadera
4,HCDN190953,false,ninguno,,,,no,
5,HCDN165644,false,ninguno,,,,no,
6,HCDN093150,false,ninguno,,,,no,
7,HCDN094169,false,ninguno,,,,no,retenciones domesticas a exportacion de carnes
8,HCDN214241,false,ninguno,,,,no,
9,HCDN200287,false,ninguno,,,,no,
10,HCDN149257,false,ninguno,,,,no,
11,HCDN282348,false,ninguno,,,,no,
12,HCDN142034,false,ninguno,,,,no,
13,HCDN163486,false,ninguno,,,,no,
14,HCDN249454,false,ninguno,,,,no,aranceles de nomenclador prestacional (no tarifario)
15,HCDN164307,true,B,comercio_ue_sectorial,administrativa_neutra,relacionada,no,
16,HCDN272141,false,ninguno,,,,no,barrera sanitaria interna Patagonia sin eje UE
17,HCDN115461,true,C,mercosur_institucional,administrativa_neutra,relacionada,no,continuidad del bloque
18,HCDN129732,true,B,comercio_ue_sectorial,administrativa_neutra,relacionada,no,
19,HCDN113390,false,ninguno,,,,no,
20,HCDN119747,true,C,mercosur_institucional,administrativa_neutra,relacionada,si,gestion ante Parlasur con objeto AMIA; politica no comercial del bloque
21,HCDN192422,false,ninguno,,,,no,
22,HCDN259351,false,ninguno,,,,no,
23,HCDN168478,false,ninguno,,,,no,
24,HCDN125475,false,ninguno,,,,no,
25,HCDN150092,false,ninguno,,,,no,
26,HCDN159802,true,A,acuerdo_ue_mercosur,administrativa_neutra,explicita,no,
27,HCDN139309,false,ninguno,,,,si,despidos en biocombustibles en era antidumping UE; titulo sin UE (sonda recall)
28,HCDN153653,false,ninguno,,,,no,
29,HCDN135856,true,B,comercio_ue_sectorial,administrativa_neutra,relacionada,no,regimen distributivo de cupo UE
30,HCDN176187,false,ninguno,,,,no,
31,HCDN191159,true,B,comercio_ue_sectorial,pro_liberalizacion,relacionada,no,celebra anulacion de derechos UE al biodiesel
32,HCDN137942,true,B,comercio_ue_sectorial,pro_liberalizacion,relacionada,no,
33,HCDN113854,true,B,comercio_ue_sectorial,administrativa_neutra,relacionada,no,
34,HCDN138539,false,ninguno,,,,no,expo de terceros
35,HCDN249071,true,A,acuerdo_ue_mercosur,administrativa_neutra,explicita,no,
36,HCDN282629,false,ninguno,,,,no,
37,HCDN204995,false,ninguno,,,,no,contraparte EEUU
