proyecto_id,titulo,codificador,dominio_codificador,anotador,dominio_anotador,confianza_anotador,flag_revision,notas
HCDN118755,"DECLARAR DE INTERES DE H. CAMARA LA CREACION DEL INSTITUTO DE POLITICAS PUBLICAS EN DERECHOS HUMANOS DEL MERCOSUR, QUE SERA INSTALADO EN LA EX ESMA.",true,C,False,ninguno,alta,si,IPPDH organo del bloque; contenido DDHH
HCDN135802,"EXPRESAR REPUDIO POR LAS DECLARACIONES DEL SEÑOR MINISTRO DE INDUSTRIA JOSE SORIA Y DEL SEÑOR IÑIGO MENDEZ DE VIGO, SECRETARIO PARA LA UNION EUROPEA, AMBOS DEL REINO DE ESPAÑA, VINCULADAS AL EJERCICIO DE LA SOBERANIA DEL ESTADO NACIONAL ARGENTINO SOBRE LAS EMPRESAS RADICADAS EN NUESTRO PAIS Y FUNDAMENTALMENTE A LOS RECURSOS PRETROLEROS ARGENTINOS.",true,B,False,ninguno,alta,si,disputa YPF-Repsol con Espana/UE; frontera inversion-comercio
HCDN198423,CREACION DEL SISTEMA DE TRAZABILIDAD DE LA FRUTA FRESCA DE PEPITA Y CAROZO,true,D,False,ninguno,alta,no,trazabilidad de fruta
HCDN126681,"APROBAR EL PROTOCOLO DE INTEGRACION EDUCATIVA Y RECONOCIMIENTO DE CERTIFICADOS, TITULOS Y ESTUDIOS DE NIVEL PRIMARIO / FUNDAMENTAL / BASICO Y MEDIO / SECUNDARIO, ENTRE LOS ESTADOS PARTE DEL MERCOSUR Y ESTADOS ASOCIADOS, SUSCRIPTO EN SAN JUAN, REPUBLICA ARGENTINA, EL 2 DE AGOSTO DE 2010.",true,C,False,ninguno,alta,no,protocolo educativo del bloque
HCDN255775,SISTEMA ARGENTINO DE TRAZABILIDAD DE LOS PRODUCTOS DE LA PESCA Y LA ACUICULTURA. CREACION.,true,D,False,ninguno,alta,si,trazabilidad pesca: rubro no listado en codebook
HCDN120878,"DECLARAR DE INTERES DE LA HONORABLE CAMARA LAS JORNADAS DE IDENTIFICACION Y TRAZABILIDAD AGROALIMENTARIA, A REALIZARSE LOS DIAS 1 Y 2 DE NOVIEMBRE DE 2010 EN LA CIUDAD AUTONOMA DE BUENOS AIRES.",false,ninguno,True,D,media,si,jornadas tecnicas de trazabilidad: evento de terceros (regla eventos)
HCDN240918,PRESUPUESTOS MINIMOS DE PROTECCION AMBIENTAL PARA LA TRAZABILIDAD DE AGROQUIMICOS.,true,D,False,ninguno,alta,si,trazabilidad agroquimicos: frame ambiental / cadena agro
HCDN143491,"DECLARAR DE INTERES DE LA H. CAMARA EL VII CONGRESO FEDERAL DE LA ECONOMIA SOLIDARIA Y ASOCIATIVISMO PYME, EL II ENCUENTRO INDOAMERICANO DE LA ECONOMIA SOLIDARIA Y ASOCIATIVISMO PYME Y EL ACTO DE CIERRE DE AÑO INTERNACIONAL DE LAS COOPERATIVAS DE LA REUNION ESPECIALIZADA DE COOPERATIVAS DEL MERCOSUR, A REALIZARSE LOS DIAS 8 Y 9 DE NOVIEMBRE DE 2012 EN LA PROVINCIA DE BUENOS AIRES.",false,ninguno,True,C,media,si,congreso de terceros con acto de la RECM; predomina evento
HCDN266547,"DECLARAR DE INTERES DE LA H. CAMARA LA MESA REDONDA DE ALTO NIVEL SOBRE LAS ""PERSPECTIVAS DEL MERCOSUR POLITICO A 25 AÑOS DE LA CREACION DEL FORO DE CONSULTA Y CONCERTACION POLITICA (FCCP)"" LA CUAL SE LLEVARA A CABO EL 16 DE MARZO DE 2023.",false,ninguno,True,C,media,si,mesa redonda de terceros sobre el FCCP
HCDN119301,"DECLARAR DE INTERES DE LA H. CAMARA EL VI CERTAMEN DE FORMACION EN VALORES EN EL MERCOSUR EDUCATIVO 2010 ""MANOS JOVENES ESCRIBEN EN GRANDE"".",true,C,False,ninguno,alta,si,certamen del Mercosur Educativo (programa oficial)
HCDN276011,CREACION DEL SISTEMA ARGENTINO DE TRAZABILIDAD DE LA PESCA Y LA ACUICULTURA.,true,D,False,ninguno,alta,si,trazabilidad pesca
HCDN283902,"EXPRESAR PREOCUPACION POR EL FIN DE LA CONCESION DEL CORREDOR VIAL N.º 18 -RUTA DEL MERCOSUR -, A CARGO DE LA EMPRESA CAMINOS DEL PARANA S.A., EN LA RUTA N° 14 DE LA PROVINCIA DE CORRIENTES, QUE IMPLICA EL RIESGO DE DESPIDO DE TRABAJADORES.",false,ninguno,True,C,media,no,ruta con nombre Mercosur; objeto vial domestico
HCDN257123,SOLICITAR AL PODER EJECUTIVO DISPONGA LA REDUCCION A 0% (CERO POR CIENTO) DEL DERECHO DE IMPORTACION EXTRAZONA (D.I.E.) PARA LA MERCADERIA COMPRENDIDA EN TODAS LAS POSICIONES ARANCELARIAS DE LA NOMENCLATURA COMUN DEL MERCOSUR (N.C.M.) CORRESPONDIENTES A FERTILIZANTES DE USO AGRICOLA.,true,C,False,ninguno,alta,si,DIE 0% fertilizantes: instrumento del bloque; pide bajar arancel
HCDN136286,"DECLARAR DE INTERES DE LA HONORABLE CAMARA DE DIPUTADOS DE LA NACION EL VIII CERTAMEN DE FORMACION EN VALORES EN EL ""MERCOSUR"" Y LA ""UNASUR"": MANOS JOVENES ESCRIBEN EN GRANDE.",true,C,False,ninguno,alta,si,certamen Mercosur Educativo
HCDN282844,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE EL PLAN PREVISTO PARA EL PROCESO DE ESTATIZACION Y CONVOCATORIA A CONCESION PRIVADA DEL CORREDOR VIAL TRONCAL DEL MERCOSUR, Y OTRAS CUESTIONES CONEXAS.",false,ninguno,True,C,media,no,corredor vial con nombre Mercosur
