orden,proyecto_id,titulo,publicacion_fecha,tipo,autor,relevante_manual,dominio_manual,tema_manual,orientacion_manual,saliencia_manual,notas
1,HCDN096128,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE EL IMPACTO DE LOS BIOCOMBUSTIBLES EN LA CRISIS ALIMENTARIA MUNDIAL.,2008-06-10T00:00:00,RESOLUCION,"BIANCHI, IVANA MARIA",,,,,,
2,HCDN258880,"SISTEMA INTEGRADO DE PROTECCION A LAS PERSONAS DISCAPACITADAS - LEY 22431 -. MODIFICACIONES DEL ARTICULO 20 E INCORPORACION DEL ARTICULO 4 BIS, SOBRE BARRERAS ARQUITECTONICAS Y EXIMICION DE IMPUESTOS PARA LAS IMPORTACIONES TECNOLOGICAS PARA USO PERSONAL, RESPECTIVAMENTE.",2022-05-26T00:00:00,LEY,"ORREGO, HUMBERTO MARCELO",,,,,,
3,HCDN180275,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE RESOLUCION REMITIDA POR LA AUDITORIA GENERAL DE LA NACION 182/14, APROBANDO EL INFORME DE AUDITORIA REALIZADO EN EL AMBITO DEL SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENTARIA (SENASA), PROGRAMA 20 SANIDAD ANIMAL, CON EL OBJETO DE ""AUDITAR LA GESTION DEL SENASA EN MATERIA DE SANIDAD ANIMAL DURANTE EL AÑO 2011 Y EL PRIMER SEMESTRE DE 2012, ESPECIFICAMENTE EN LO QUE CONCIERNE AL PROGRAMA NACIONAL DE LUCHA CONTRA LA FIEBRE AFTOSA, EL SISTEMA DE IDENTIFICACION ANIMAL Y TRAZABILIDAD Y EL PROGRAMA DE BIENESTAR ANIMAL"".",2015-09-15T00:00:00,RESOLUCION,PARLAMENTARIA MIXTA REVISORA DE CUENTAS,,,,,,
4,HCDN190953,"SECRETARIAS EN LAS FISCALIAS DE PRIMERA INSTANCIA FEDERALES 1, 2 Y 3 DE ROSARIO, PROVINCIA DE SANTA FE. CREACION.",2016-09-21T00:00:00,LEY,"GONZALEZ, JOSEFINA VICTORIA",,,,,,
5,HCDN165644,"DECLARAR DE INTERES DE LA HONORABLE CAMARA DE DIPUTADOS DE LA NACION EL 90 ANIVERSARIO DE LA FUNDACION DE LA EMISORA RADIAL LT9 ""BRIGADIER LOPEZ"", CELEBRADO EL DIA 24 DE JUNIO DE 2014 EN LA PROVINCIA DE SANTA FE.",2014-07-18T00:00:00,RESOLUCION,"MARTINEZ, OSCAR ARIEL",,,,,,
6,HCDN093150,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE EL CONTROL DE LA ACTIVIDAD QUE DESARROLLA LA ORGANIZACION VERAZ SA EN SU CARACTER DE PORTADORA DE BASE DE DATOS PERSONALES.,2008-03-28T00:00:00,RESOLUCION,"GENEM, AMANDA SUSANA",,,,,,
7,HCDN094169,EXPORTACIONES DE CARNES: DESTINAR EL 50 % DE LAS RETENCIONES A LAS EXPORTACIONES DE CARNES A OTORGAR SUBSIDIOS A LOS PRODUCTORES GANADEROS PRIMARIOS DE HASTA MIL CABEZAS DE GANADO.,2008-04-24T00:00:00,LEY,"PORTELA, AGUSTIN ALBERTO",,,,,,
8,HCDN214241,"EXPRESAR PREOCUPACION POR LA SITUACION QUE ATRAVIESA LA EMPRESA INVAP S.E. Y RECLAMAR POR ""EL PLAN SATELITAL GEOESTACIONARIO ARGENTINO 2015-2035""",2018-04-19T00:00:00,RESOLUCION,"DOÑATE, CLAUDIO MARTIN",,,,,,
9,HCDN200287,"DESIGNACION DE LA LOCALIDAD DE YAPEYU, PROVINCIA DE CORRIENTES, COMO SEDE OFICIAL DE LOS ACTOS DEL NATALICIO Y FALLECIMIENTO DEL GENERAL DON JOSE FRANCISCO DE SAN MARTIN, A CONMEMORARSE ANUALMENTE LOS DIAS 25 DE FEBRERO Y 17 DE AGOSTO, RESPECTIVAMENTE.",2017-06-07T00:00:00,LEY,"VALDES, GUSTAVO ADOLFO",,,,,,
10,HCDN149257,"CREACION DEL ""PROGRAMA DE MODERNIZACION DE LA INFRAESTRUCTURA DEL TRANSPORTE TERRESTRE -PROMITT-"".",2013-03-15T00:00:00,LEY,"ASSEFF, ALBERTO",,,,,,
