proyecto_id,marco_blind2,duda_blind2
HCDN095325,domestico,
HCDN096123,domestico,
HCDN097372,domestico,
HCDN097850,domestico,
HCDN100298,domestico,
HCDN101002,domestico,
HCDN102504,domestico,
HCDN104677,domestico,
HCDN107491,domestico,
HCDN109062,domestico,
HCDN110418,domestico,
HCDN110810,domestico,
HCDN111105,domestico,
HCDN114793,domestico,
HCDN115441,domestico,
HCDN116173,domestico,
HCDN116794,domestico,
HCDN116795,domestico,
HCDN118171,domestico,
HCDN118478,domestico,
HCDN121384,domestico,
HCDN121849,domestico,
HCDN123502,domestico,
HCDN124596,domestico,
HCDN127347,domestico,
HCDN129472,domestico,
HCDN132152,domestico,
HCDN132153,domestico,
HCDN134032,domestico,
HCDN134595,domestico,
HCDN135592,domestico,cambio climatico global pero sin referente comercial externo
HCDN136316,domestico,
HCDN142348,domestico,
HCDN142807,domestico,
HCDN143507,domestico,
HCDN147972,domestico,
HCDN148238,domestico,
HCDN148312,domestico,
HCDN148357,domestico,
HCDN148610,domestico,
HCDN149356,domestico,
HCDN149359,domestico,
HCDN149384,domestico,
HCDN149993,domestico,
HCDN152152,domestico,
HCDN152570,domestico,
HCDN156293,domestico,
HCDN157885,domestico,
HCDN158351,domestico,
HCDN159021,domestico,
HCDN160087,domestico,
HCDN160759,domestico,
HCDN161629,domestico,
HCDN164080,domestico,
HCDN166003,domestico,
HCDN166249,externo,trazabilidad de ganado sin mercado externo explicito
HCDN166416,domestico,
HCDN167603,domestico,
HCDN168486,domestico,
HCDN168657,domestico,
HCDN171849,domestico,
HCDN172143,domestico,
HCDN172520,domestico,
HCDN173199,domestico,
HCDN175082,domestico,
HCDN175477,domestico,
HCDN175574,domestico,
HCDN179703,externo,FAO es referente internacional no comercial
HCDN179965,externo,destino comercial no explicito en el titulo
HCDN180275,domestico,menciona trazabilidad animal dentro de auditoria domestica
HCDN180951,domestico,
HCDN182684,domestico,
HCDN184192,domestico,
HCDN187373,domestico,
HCDN189288,domestico,
HCDN189657,domestico,
HCDN191324,domestico,
HCDN191957,domestico,
HCDN194197,domestico,
HCDN194965,domestico,
HCDN196026,domestico,
HCDN198423,externo,destino comercial no explicito en el titulo
HCDN202544,externo,destino comercial no explicito en el titulo
HCDN204519,domestico,
HCDN205425,domestico,
HCDN205429,domestico,
HCDN205599,externo,trazabilidad porcina; podria ser sanitario domestico
HCDN211972,domestico,
HCDN211995,domestico,
HCDN213062,domestico,trazabilidad pero instrumento ambiental domestico
HCDN213317,domestico,
HCDN219257,domestico,
HCDN220111,domestico,
HCDN220959,domestico,
HCDN221790,externo,destino comercial no explicito en el titulo
HCDN225849,domestico,
HCDN227787,domestico,
HCDN228132,externo,destino comercial no explicito en el titulo
HCDN228169,domestico,
HCDN229905,externo,destino comercial no explicito en el titulo
HCDN234816,domestico,
HCDN235390,domestico,
HCDN238252,domestico,
HCDN240694,externo,destino comercial no explicito en el titulo
HCDN240918,domestico,trazabilidad pero instrumento ambiental domestico
HCDN240998,domestico,
HCDN241784,domestico,
HCDN241903,domestico,
HCDN242884,domestico,
HCDN244122,domestico,
HCDN244575,domestico,
HCDN245700,domestico,
HCDN246224,domestico,
HCDN247042,domestico,
HCDN248421,domestico,
HCDN248559,domestico,
HCDN248717,domestico,
HCDN250115,externo,trazabilidad sin destino externo explicito en titulo
HCDN250322,domestico,
HCDN255053,domestico,
HCDN255610,domestico,
HCDN255775,externo,trazabilidad sin destino externo explicito en titulo
HCDN257849,externo,trazabilidad sin destino externo explicito en titulo
HCDN261866,domestico,
HCDN262768,domestico,
HCDN265449,domestico,
HCDN266678,domestico,
HCDN271050,domestico,
HCDN272773,externo,trazabilidad sin destino externo explicito en titulo
HCDN272886,externo,trazabilidad sin destino externo explicito en titulo
HCDN273811,externo,
HCDN274720,domestico,
HCDN275190,domestico,
HCDN276011,externo,trazabilidad sin destino externo explicito en titulo
HCDN276142,domestico,
HCDN276698,domestico,
HCDN277611,domestico,
HCDN278325,eudr,
HCDN278458,domestico,
HCDN278623,eudr,
HCDN278840,domestico,
HCDN278878,domestico,
HCDN278891,domestico,
HCDN279051,externo,trazabilidad ganadera sin referente externo explicito
HCDN279089,domestico,
HCDN279193,externo,esquema REDD+ internacional pero programa provincial
HCDN279302,ue_otro,
HCDN279503,domestico,
HCDN282180,domestico,
HCDN283344,eudr,
HCDN283348,externo,trazabilidad ganadera sin referente externo explicito
HCDN284239,domestico,
