proyecto_id,anio,tipo,marco_regla,marco_manual,nota
HCDN095325,2008,RESOLUCION,domestico,domestico,
HCDN096123,2008,RESOLUCION,domestico,domestico,
HCDN097372,2008,RESOLUCION,domestico,domestico,
HCDN097850,2008,RESOLUCION,domestico,domestico,
HCDN100298,2008,DECLARACION,domestico,domestico,
HCDN101002,2008,RESOLUCION,domestico,domestico,
HCDN102504,2009,RESOLUCION,domestico,domestico,
HCDN104677,2009,RESOLUCION,domestico,domestico,
HCDN107491,2009,LEY,domestico,domestico,
HCDN109062,2009,DECLARACION,domestico,domestico,
HCDN110418,2009,RESOLUCION,domestico,domestico,
HCDN110810,2009,RESOLUCION,domestico,domestico,
HCDN111105,2009,RESOLUCION,domestico,domestico,
HCDN114793,2010,RESOLUCION,domestico,domestico,
HCDN115441,2010,RESOLUCION,domestico,domestico,
HCDN116173,2010,RESOLUCION,domestico,domestico,
HCDN116794,2010,RESOLUCION,domestico,domestico,
HCDN116795,2010,RESOLUCION,domestico,domestico,
HCDN118171,2010,RESOLUCION,domestico,domestico,
HCDN118478,2010,RESOLUCION,domestico,domestico,
HCDN121384,2010,RESOLUCION,domestico,domestico,
HCDN121849,2010,LEY,domestico,domestico,
HCDN123502,2011,RESOLUCION,domestico,domestico,
HCDN124596,2011,LEY,domestico,domestico,
HCDN127347,2011,RESOLUCION,domestico,domestico,
HCDN129472,2011,RESOLUCION,domestico,domestico,
HCDN132152,2011,LEY,domestico,domestico,
HCDN132153,2011,LEY,domestico,domestico,
HCDN134032,2012,DECLARACION,domestico,domestico,
HCDN134595,2012,LEY,domestico,domestico,
HCDN135592,2012,RESOLUCION,domestico,domestico,
HCDN136316,2012,RESOLUCION,domestico,domestico,
HCDN142348,2012,RESOLUCION,domestico,domestico,
HCDN142807,2012,RESOLUCION,domestico,domestico,
HCDN143507,2012,DECLARACION,domestico,domestico,
HCDN147972,2013,RESOLUCION,domestico,domestico,
HCDN148238,2013,LEY,domestico,domestico,
HCDN148312,2013,RESOLUCION,domestico,domestico,
HCDN148357,2013,RESOLUCION,domestico,domestico,
HCDN148610,2013,RESOLUCION,domestico,domestico,
HCDN149356,2013,LEY,domestico,domestico,
HCDN149359,2013,RESOLUCION,domestico,domestico,
